我们	26823
一个	24807
没有	18950
他们	17787
发展	17331
可以	16734
自己	14793
就是	13715
什么	13589
这个	13202
这样	11980
社会	11461
进行	11087
问题	10899
工作	10531
起来	10196
国家	10139
不能	10033
这些	9975
生产	9556
生活	9525
因为	8969
不是	8956
经济	8730
研究	8657
主要	8352
由于	8074
我国	7980
关系	7954
作用	7924
不同	7851
中国	7791
人们	7706
但是	7678
现在	7642
需要	7610
所以	7519
因此	7416
如果	7375
已经	7362
一定	7317
重要	7135
一些	7071
情况	6923
知道	6773
时候	6721
必须	6703
人民	6669
出来	6574
活动	6569
方面	6523
科学	6505
也是	6473
条件	6427
许多	6389
通过	6387
思想	6370
发生	6317
为了	6285
过程	6231
而且	6116
影响	6103
方法	6098
要求	6097
技术	5978
一般	5944
具有	5870
形成	5853
对于	5846
时间	5761
认为	5720
还是	5720
世界	5697
只有	5668
以后	5651
教育	5648
它们	5634
同时	5626
表现	5572
产生	5563
出现	5544
企业	5489
社会主义	5480
各种	5419
之间	5380
组织	5334
一样	5278
成为	5251
可能	5233
根据	5186
开始	5138
还有	5102
存在	5081
地方	5081
变化	5077
可是	5032
革命	5021
作为	5001
这里	4974
提高	4955
同志	4928
以及	4886
发现	4821
一切	4810
运动	4804
历史	4620
地区	4594
第一	4593
物质	4549
你们	4484
形式	4433
认识	4395
那么	4395
例如	4389
学生	4377
政治	4375
比较	4352
第二	4292
怎么	4287
经过	4285
提出	4271
艺术	4257
自然	4243
过去	4213
领导	4199
完全	4184
东西	4174
其他	4169
得到	4163
劳动	4127
决定	4101
结构	4079
现象	4068
理论	4033
虽然	4004
学习	3995
孩子	3975
特别	3970
工业	3970
一点	3940
建立	3928
管理	3913
文化	3910
利用	3892
人类	3842
应该	3836
建设	3836
规定	3832
有些	3798
精神	3777
基本	3767
结果	3746
看到	3736
大家	3683
时期	3672
意义	3628
其中	3578
才能	3554
能够	3553
当时	3541
美国	3521
解决	3520
只是	3507
语言	3498
增加	3488
内容	3476
计划	3460
今天	3433
不仅	3417
注意	3398
群众	3393
联系	3361
水平	3355
使用	3319
分析	3308
当然	3308
有关	3293
实现	3286
系统	3277
直接	3277
不过	3275
说明	3258
产品	3244
全国	3226
基础	3216
十分	3199
市场	3188
斗争	3183
环境	3181
特点	3177
为什么	3168
于是	3159
反映	3150
引起	3141
创造	3122
参加	3119
甚至	3112
能力	3108
觉得	3094
一下	3090
民族	3089
具体	3072
知识	3067
有的	3055
包括	3049
下来	3046
部门	3008
结合	3003
正确	2986
任务	2986
部分	2986
那些	2973
不会	2966
任何	2937
眼睛	2916
经验	2909
实际	2900
随着	2895
农业	2894
不断	2883
这时	2881
最后	2877
单位	2873
而是	2846
表示	2841
之后	2839
关于	2834
整个	2826
性质	2818
受到	2818
政府	2802
到了	2784
作品	2778
青年	2773
目的	2772
工人	2769
规律	2759
农民	2758
实行	2742
力量	2739
一起	2732
先生	2728
后来	2722
然后	2711
办法	2698
并不	2669
制度	2669
有人	2658
心理	2654
怎样	2654
原则	2654
多少	2654
原来	2647
那个	2639
等等	2634
商品	2627
干部	2626
实践	2615
所谓	2612
行为	2600
统一	2599
日本	2597
矛盾	2592
以上	2590
大量	2586
个人	2580
指出	2573
然而	2573
代表	2569
学校	2568
原因	2564
几个	2562
达到	2544
因素	2544
感到	2538
实验	2525
地位	2524
方向	2524
正在	2520
资本主义	2513
因而	2510
程度	2509
并且	2507
完成	2499
造成	2491
回来	2491
改变	2484
往往	2484
看见	2482
政策	2472
目前	2467
那样	2451
这么	2450
范围	2447
非常	2445
只要	2445
首先	2438
法律	2437
声音	2436
时代	2433
质量	2429
改革	2418
阶段	2408
心里	2407
继续	2400
获得	2394
方式	2387
不要	2374
取得	2363
所有	2344
人物	2340
叫做	2326
告诉	2293
严重	2290
组成	2284
观察	2281
第三	2270
速度	2270
自由	2270
根本	2263
容易	2255
加强	2251
了解	2247
全部	2245
很多	2242
准备	2238
或者	2229
进一步	2228
从而	2219
资产阶级	2217
价值	2216
困难	2211
还要	2199
总是	2197
中心	2197
充分	2176
保证	2172
进入	2171
文学	2168
变成	2168
处理	2166
采取	2164
事情	2163
只能	2162
敌人	2145
不到	2141
事物	2139
那里	2132
控制	2126
对象	2124
积极	2119
动物	2119
反应	2119
来说	2118
提供	2082
集中	2078
世纪	2072
突然	2071
下去	2070
不少	2060
经营	2058
事实	2056
某些	2051
正是	2050
客观	2049
植物	2030
似的	2029
应当	2014
现代	2008
状态	2008
价格	2005
一直	2004
采用	2003
服务	2002
按照	2002
分别	1999
特征	1999
事业	1993
利益	1993
材料	1993
培养	1991
复杂	1990
有时	1983
分子	1982
如何	1981
掌握	1971
丰富	1969
又是	1968
共同	1964
城市	1964
上海	1961
内部	1958
理解	1941
音乐	1936
运用	1934
构成	1929
现实	1924
形象	1923
真正	1922
发挥	1917
称为	1916
传统	1910
相同	1910
除了	1908
常常	1907
创作	1906
适应	1904
国际	1903
温度	1901
证明	1899
年代	1897
观点	1886
促进	1884
战争	1883
阶级	1880
帮助	1876
母亲	1875
似乎	1875
希望	1867
农村	1867
家庭	1862
空气	1861
坚持	1861
合理	1859
同样	1855
迅速	1849
属于	1847
土地	1847
不可	1843
身体	1840
本身	1837
感情	1836
父亲	1819
广大	1816
逐渐	1806
身上	1805
人员	1804
反对	1801
北京	1800
生命	1799
必然	1798
简单	1797
人家	1794
选择	1794
解释	1788
妈妈	1773
长期	1772
效果	1769
扩大	1763
就要	1759
特殊	1759
动作	1758
姑娘	1752
相互	1751
努力	1749
过来	1741
保持	1739
离开	1737
分布	1736
咱们	1728
几乎	1726
地球	1724
以前	1724
明显	1714
左右	1712
细胞	1709
思维	1708
一部分	1700
互相	1698
仍然	1698
如此	1693
儿童	1690
各个	1686
高兴	1686
这次	1685
生长	1685
意见	1676
标准	1672
别人	1668
家里	1668
错误	1661
确定	1659
以来	1659
最大	1653
指导	1652
保护	1649
无产阶级	1643
会议	1642
之一	1638
上面	1638
信息	1637
接受	1637
回答	1636
满足	1636
不知	1632
减少	1630
功能	1625
经常	1624
独立	1622
太阳	1616
苏联	1616
清楚	1615
战士	1612
增长	1606
态度	1600
概念	1598
高度	1592
资金	1590
及其	1586
加以	1585
上述	1582
面前	1582
胜利	1574
手段	1573
以为	1570
必要	1570
终于	1558
介绍	1554
二十	1547
吸收	1547
人口	1545
应用	1543
基础上	1541
今年	1540
成功	1539
理想	1535
说话	1534
重大	1533
教师	1532
化学	1527
进步	1525
有点	1522
英国	1522
大小	1520
接着	1519
措施	1517
目标	1516
破坏	1512
重视	1504
平均	1502
一天	1501
相当	1499
普遍	1496
是否	1495
成立	1494
之中	1492
考虑	1491
稳定	1485
计算	1483
统治	1483
帝国主义	1478
明白	1477
巨大	1475
生物	1474
部队	1473
职工	1467
新闻	1462
行动	1462
民主	1460
忽然	1459
舞蹈	1456
数量	1455
发出	1453
资源	1450
电子	1450
作出	1450
讨论	1447
分之	1447
物体	1444
资料	1441
出去	1437
中央	1436
想到	1433
意识	1431
观念	1429
道德	1429
设备	1429
来到	1428
广泛	1426
投资	1422
实际上	1419
公司	1415
无法	1414
封建	1411
现代化	1411
报告	1408
老师	1403
妇女	1401
先进	1399
喜欢	1396
下面	1395
改造	1386
分配	1386
教学	1382
主张	1379
儿子	1378
爸爸	1375
每个	1374
不但	1373
前面	1371
其它	1371
训练	1368
平衡	1367
执行	1360
位置	1360
不好	1356
逐步	1355
安排	1348
此外	1347
认真	1345
一片	1345
在于	1343
某种	1339
道路	1335
正常	1334
以下	1334
著名	1333
区别	1333
听到	1332
本质	1330
很快	1325
明确	1322
军事	1321
中间	1319
更加	1319
尤其	1317
曾经	1317
支持	1313
朋友	1310
并不是	1309
也许	1308
状况	1308
工具	1308
强调	1306
开展	1304
超过	1302
无论	1302
其实	1301
伟大	1301
里面	1299
这儿	1299
找到	1297
商业	1297
带来	1294
一致	1293
举行	1291
小时	1290
表明	1289
集体	1289
尽管	1287
分为	1284
那是	1283
通常	1281
体系	1280
立即	1280
祖国	1280
机关	1280
意思	1274
晚上	1274
原子	1273
教授	1271
检查	1270
回到	1266
这位	1264
限制	1262
权利	1257
感觉	1252
相对	1251
解放	1250
有效	1247
古代	1247
去年	1245
相信	1243
三十	1240
全面	1239
收入	1237
机会	1230
观众	1229
法国	1227
她们	1227
处于	1222
马上	1219
周围	1217
调节	1216
转化	1214
密切	1214
习惯	1211
至于	1209
性格	1207
工厂	1205
面积	1200
宗教	1199
调整	1198
实在	1197
领域	1197
机构	1196
故事	1194
有着	1193
女人	1189
综合	1186
另外	1186
汽车	1186
降低	1183
恢复	1183
不敢	1183
国民经济	1182
生产力	1180
好象	1179
每天	1178
符合	1178
同学	1177
体现	1176
形态	1170
宣传	1169
深入	1167
哲学	1165
毛泽东	1165
看来	1163
大学	1161
比例	1159
欧洲	1158
越来越	1158
制造	1156
作家	1155
马克思主义	1155
本来	1150
书记	1144
类型	1141
制定	1141
设计	1140
要是	1139
成果	1137
深刻	1136
紧张	1134
金属	1123
衣服	1122
来看	1122
仿佛	1121
机械	1120
强烈	1116
适当	1115
脸上	1114
从事	1113
战斗	1110
情绪	1107
不了	1105
即使	1104
个体	1103
电流	1103
一方面	1101
等于	1099
同一	1097
能量	1097
别的	1095
显然	1095
海洋	1092
调查	1091
每年	1083
气候	1081
出发	1080
成分	1079
承认	1077
严格	1077
发育	1077
粮食	1076
贡献	1074
健康	1073
加工	1069
发表	1069
样子	1069
重新	1065
一阵	1064
缺乏	1064
马克思	1064
直到	1063
老人	1063
绝对	1062
成绩	1062
一边	1062
文艺	1060
立刻	1058
空间	1057
机器	1057
走到	1057
军队	1056
